#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
103,Luxembourg,"297,757",,"1,133 ",,"288,991",,"7,633",,"458,198","1,743","4,412,567","6,790,194","649,844 ",Europe,25740,,,"11,746",
104,Montenegro,"283,089",,"2,787 ",,"279,887",,415,6,"450,598","4,436","2,651,778","4,220,883","628,252 ",Europe,22250,,,661,
105,Algeria,"270,873",,"6,881 ",,"182,442",,"81,550",,"5,926",151,"230,861","5,051","45,706,789 ",Africa,"1696,642198",,,"1,784",
106,Nigeria,"266,192",,"3,155 ",,"259,532",,"3,505",11,"1,220",14,"5,441,162","24,946","218,115,730 ",Africa,"81969,13340",,,16,
107,Zimbabwe,"257,893",,"5,606 ",,"251,904",,383,12,"16,779",365,"2,525,756","164,331","15,369,936 ",Africa,"602,7426",,,25,
108,Uzbekistan,"244,739",,"1,637 ",,"241,486",,"1,616",23,"7,072",47,"1,377,915","39,817","34,605,862 ",Asia,"14121,14025",,,47,
109,Brunei ,"241,044",,225 ,,"222,140",,"18,679",3,"538,895",503,"717,784","1,604,729","447,293 ",Asia,"21,9881",,,"41,760",
110,Mozambique,"230,475",,"2,224 ",,"228,176",,75,11,"6,919",67,"1,371,127","41,165","33,308,243 ",Africa,"14514,97724",,,2,
111,Martinique,"223,728",,"1,047 ",,N/A,N/A,N/A,8,"597,271","2,795","828,928","2,212,930","374,584 ",North America,23580,,,"594,198",
112,Laos,"216,286",+5,758 ,,N/A,N/A,N/A,,"28,750",101,"1,233,207","163,926","7,522,959 ",Asia,"359,9256",0.7,,"27,631",
113,Iceland,"206,571",,219 ,,N/A,N/A,N/A,2,"596,283",632,"1,996,384","5,762,718","346,431 ",Europe,"21,5820",,,"377,180",
114,Kyrgyzstan,"206,452",,"2,991 ",,"196,406",,"7,055",131,"30,466",441,"1,907,195","281,445","6,776,446 ",Asia,"332,2664",,,"1,041",
115,Afghanistan,"203,681",,"7,826 ",,"180,938",,"14,917","1,124","4,970",191,"1,138,780","27,786","40,983,251 ",Asia,"2015,23736",,,364,
116,El Salvador,"201,785",,"4,230 ",,"179,410",,"18,145",8,"30,746",645,"2,610,114","397,710","6,562,863 ",North America,"331,5523",,,"2,765",
117,Guadeloupe,"196,270",,993 ,,N/A,N/A,N/A,19,"490,327","2,481","938,039","2,343,434","400,284 ",North America,24030,,,"482,225",
118,Maldives,"185,364",,308 ,,"163,687",,"21,369",25,"329,328",547,"2,213,831","3,933,217","562,855 ",Asia,"31,8270",,,"37,965",
119,Trinidad and Tobago,"184,854",,"4,255 ",,"180,224",,375,8,"131,093","3,018","856,673","607,526","1,410,102 ",North America,83312,,,266,
120,Ghana,"170,894",,"1,460  ",,"169,218",,216,2,"5,243",45,"2,518,296","77,265","32,593,149 ",Africa,"19122,32413",,,7,
121,Namibia,"169,946",,"4,080 ",,"165,826",,40,,"64,161","1,540","1,062,663","401,195","2,648,747 ",Africa,166492,,,15,
122,Uganda,"169,473",,"3,630 ",,"100,431",,"65,412",3,"3,450",74,"3,012,408","61,318","49,127,821 ",Africa,"29013,53416",,,"1,331",
123,Jamaica,"151,931",,"3,320 ",,"99,392",,"49,219",,"50,789","1,110","1,183,986","395,791","2,991,439 ",North America,209013,,,"16,453",
124,Cambodia,"137,996",,"3,056 ",,"134,934",,6,,"7,995",177,"3,091,420","179,097","17,261,159 ",Asia,"1255,6486",,,0.3,
125,Rwanda,"132,584",,"1,467 ",,"131,061",,56,,"9,674",107,"5,841,019","426,202","13,704,817 ",Africa,"1039,3422",,,4,
